user,following,following_in_degree,user_entity,user_parent_entity,following_entity,following_parent_entity
zhu_jingyang,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
DiscoverJilin,IXiangshan,35,Department of Culture and Tourism of Jilin Province,Jilin Provincial People's Government,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
izhejiang,IXiangshan,35,China Daily Press,Zhejiang Provincial People's Government,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
ChinaEmbEritrea,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
CaoYi_MFA,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
ShaanxiMoments,IXiangshan,35,"Beijing Jiandanshiji Culture Media Co., Ltd",unknown,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
EmbZhangRun,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
CGMeifangZhang,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
YXiusheng,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
ShaoxingCity,IXiangshan,35,China Daily Press,Shaoxing Municipal People's Government,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
promisingzhuang,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
ShanghaiEye,IXiangshan,35,Shanghai Media Group (SMG),Shanghai Municipal Committee,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
Cao_Li_CHN,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
China_Lyon,IXiangshan,35,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government
