,user,following,following_in_degree,Entity owner (English)
0,zhu_jingyang,IXiangshan,35,Ministry of Foreign Affairs
1,zhu_jingyang,AndyBxxx,92,Ministry of Foreign Affairs
2,zhu_jingyang,EmbajadaChinaSV,43,Ministry of Foreign Affairs
3,zhu_jingyang,Hongchencuxian,48,Ministry of Foreign Affairs
4,zhu_jingyang,ChinaConSydney,127,Ministry of Foreign Affairs
5,zhu_jingyang,gabriekestabem,52,Ministry of Foreign Affairs
6,zhu_jingyang,CCGBelfast,76,Ministry of Foreign Affairs
7,zhu_jingyang,ChinaEUMission,162,Ministry of Foreign Affairs
8,zhu_jingyang,QuanQuan_1231,27,Ministry of Foreign Affairs
9,zhu_jingyang,CGMeifangZhang,182,Ministry of Foreign Affairs
10,zhu_jingyang,Lin_Nan1,53,Ministry of Foreign Affairs
11,zhu_jingyang,ShanghaiEye,43,Ministry of Foreign Affairs
12,zhu_jingyang,ZhengguanNews,81,Ministry of Foreign Affairs
13,zhu_jingyang,wuji_li,17,Ministry of Foreign Affairs
14,zhu_jingyang,LiuXininBeijing,140,Ministry of Foreign Affairs
15,zhu_jingyang,AmbLiuXiaoMing,230,Ministry of Foreign Affairs
16,zhu_jingyang,EmbChinaGE,106,Ministry of Foreign Affairs
17,zhu_jingyang,zlj517,308,Ministry of Foreign Affairs
18,zhu_jingyang,iloveguizhou,58,Ministry of Foreign Affairs
19,zhu_jingyang,libijian2,128,Ministry of Foreign Affairs
20,zhu_jingyang,XinhuaTravel,62,Ministry of Foreign Affairs
21,zhu_jingyang,HU_Bin_CHN,52,Ministry of Foreign Affairs
22,zhu_jingyang,EmbQiMei,50,Ministry of Foreign Affairs
23,zhu_jingyang,JingFeng22,64,Ministry of Foreign Affairs
24,zhu_jingyang,SichuanDaily,72,Ministry of Foreign Affairs
25,zhu_jingyang,shao_zheng,63,Ministry of Foreign Affairs
26,zhu_jingyang,Amb_ZhuJing,75,Ministry of Foreign Affairs
27,zhu_jingyang,CGTNGraphics,12,Ministry of Foreign Affairs
28,zhu_jingyang,AmbXieFeng,121,Ministry of Foreign Affairs
29,zhu_jingyang,CGTNSportsScene,50,Ministry of Foreign Affairs
30,zhu_jingyang,Jingjing_Li,82,Ministry of Foreign Affairs
31,zhu_jingyang,MiaoXiaojuan,37,Ministry of Foreign Affairs
32,zhu_jingyang,MOFCOM_China,58,Ministry of Foreign Affairs
33,zhu_jingyang,TideNewsZJ,21,Ministry of Foreign Affairs
34,zhu_jingyang,PhoenixTV_News,41,Ministry of Foreign Affairs
35,zhu_jingyang,FuCong17,133,Ministry of Foreign Affairs
36,zhu_jingyang,AmbWuJianghao,75,Ministry of Foreign Affairs
37,zhu_jingyang,CGTNEurope,76,Ministry of Foreign Affairs
38,zhu_jingyang,zhangbuxin,38,Ministry of Foreign Affairs
39,zhu_jingyang,Amb_Yiming,138,Ministry of Foreign Affairs
40,zhu_jingyang,JilinChina,54,Ministry of Foreign Affairs
41,zhu_jingyang,xuejianosaka,136,Ministry of Foreign Affairs
42,zhu_jingyang,XIEYongjun_CHN,143,Ministry of Foreign Affairs
43,zhu_jingyang,liupheonix,131,Ministry of Foreign Affairs
44,zhu_jingyang,MahuiChina,187,Ministry of Foreign Affairs
45,zhu_jingyang,ChenPingMFA,72,Ministry of Foreign Affairs
46,zhu_jingyang,Cao_Li_CHN,94,Ministry of Foreign Affairs
47,zhu_jingyang,Zhou_Li_CHN,116,Ministry of Foreign Affairs
48,zhu_jingyang,ChinaAmbUN,210,Ministry of Foreign Affairs
49,zhu_jingyang,Amb_LuKang,146,Ministry of Foreign Affairs
50,zhu_jingyang,promisingzhuang,56,Ministry of Foreign Affairs
51,zhu_jingyang,HeRulong,81,Ministry of Foreign Affairs
52,zhu_jingyang,Chinamission2un,196,Ministry of Foreign Affairs
53,zhu_jingyang,CGHuangPingNY,117,Ministry of Foreign Affairs
54,zhu_jingyang,Echinanews,169,Ministry of Foreign Affairs
55,zhu_jingyang,CNS1952,79,Ministry of Foreign Affairs
56,zhu_jingyang,Amazing_Yunnan,92,Ministry of Foreign Affairs
57,zhu_jingyang,zhang_heqing,245,Ministry of Foreign Affairs
58,zhu_jingyang,MAKSIMYQY,48,Ministry of Foreign Affairs
59,zhu_jingyang,china_embajada,55,Ministry of Foreign Affairs
60,zhu_jingyang,AmbJiaGuide,107,Ministry of Foreign Affairs
61,zhu_jingyang,in_embassy,68,Ministry of Foreign Affairs
62,zhu_jingyang,AmbDongXiaojun,77,Ministry of Foreign Affairs
63,zhu_jingyang,ChinaEmbPt,89,Ministry of Foreign Affairs
64,Chinamission2un,WanmingYang,46,Ministry of Foreign Affairs
65,Chinamission2un,China_Amb_India,148,Ministry of Foreign Affairs
66,Chinamission2un,Chinaembmanila,105,Ministry of Foreign Affairs
67,Chinamission2un,chenweihua,132,Ministry of Foreign Affairs
68,Chinamission2un,BeijingReview,98,Ministry of Foreign Affairs
69,Chinamission2un,ChineseEmbinUS,206,Ministry of Foreign Affairs
70,Chinamission2un,AmbCuiTiankai,186,Ministry of Foreign Affairs
71,Chinamission2un,SpoxCHNinUS,76,Ministry of Foreign Affairs
72,Chinamission2un,thouse_opinions,109,Ministry of Foreign Affairs
73,Chinamission2un,Chinacultureorg,83,Ministry of Foreign Affairs
74,Chinamission2un,YDunhai,85,Ministry of Foreign Affairs
75,Chinamission2un,cidcaofficial,68,Ministry of Foreign Affairs
76,Chinamission2un,SuYuting8,16,Ministry of Foreign Affairs
77,Chinamission2un,thisisGBA,39,Ministry of Foreign Affairs
78,Chinamission2un,ChinaSpox_India,46,Ministry of Foreign Affairs
79,Chinamission2un,AmbLiuGuangYuan,46,Ministry of Foreign Affairs
80,Chinamission2un,AmbZhouJian,76,Ministry of Foreign Affairs
81,Chinamission2un,AmbassadorHuang,48,Ministry of Foreign Affairs
82,Chinamission2un,AmbDongXiaojun,77,Ministry of Foreign Affairs
83,Chinamission2un,FuCong17,133,Ministry of Foreign Affairs
84,Chinamission2un,ChinainLebanon,98,Ministry of Foreign Affairs
85,Chinamission2un,chinascio,149,Ministry of Foreign Affairs
86,Chinamission2un,jtao98,35,Ministry of Foreign Affairs
87,Chinamission2un,HeRulong,81,Ministry of Foreign Affairs
88,Chinamission2un,AmbZhengZeguang,97,Ministry of Foreign Affairs
89,Chinamission2un,ChinaEmbinRW,39,Ministry of Foreign Affairs
90,Chinamission2un,AmbJiaGuide,107,Ministry of Foreign Affairs
91,Chinamission2un,embajadorcn_uy,78,Ministry of Foreign Affairs
92,Chinamission2un,CaoYi_MFA,178,Ministry of Foreign Affairs
93,Chinamission2un,ZhongBai2020,146,Ministry of Foreign Affairs
94,Chinamission2un,ChineseEmb_FJ,91,Ministry of Foreign Affairs
95,Chinamission2un,ChinaEmbEritrea,84,Ministry of Foreign Affairs
96,Chinamission2un,ChinaEmbNL,108,Ministry of Foreign Affairs
97,Chinamission2un,chinacgedi,62,Ministry of Foreign Affairs
98,Chinamission2un,ChinaEmbPt,89,Ministry of Foreign Affairs
99,Chinamission2un,CGHuangPingNY,117,Ministry of Foreign Affairs
100,Chinamission2un,Amb_LiSong,80,Ministry of Foreign Affairs
101,Chinamission2un,ChinaEmbMalta,44,Ministry of Foreign Affairs
102,Chinamission2un,ChineseEmb_PNG,103,Ministry of Foreign Affairs
103,Chinamission2un,YXiusheng,95,Ministry of Foreign Affairs
104,Chinamission2un,SpokespersonCHN,329,Ministry of Foreign Affairs
105,Chinamission2un,PDChinese,134,Ministry of Foreign Affairs
106,Chinamission2un,AmbQinGang,225,Ministry of Foreign Affairs
107,Chinamission2un,zlj517,308,Ministry of Foreign Affairs
108,Chinamission2un,MFA_China,299,Ministry of Foreign Affairs
109,Chinamission2un,AmbLiuXiaoMing,230,Ministry of Foreign Affairs
110,Chinamission2un,ChinaAmbUN,210,Ministry of Foreign Affairs
111,Chinamission2un,xuejianosaka,136,Ministry of Foreign Affairs
112,Chinamission2un,XIEYongjun_CHN,143,Ministry of Foreign Affairs
113,Chinamission2un,MahuiChina,187,Ministry of Foreign Affairs
114,Chinamission2un,Amb_LuKang,146,Ministry of Foreign Affairs
115,Chinamission2un,CNS1952,79,Ministry of Foreign Affairs
116,Chinamission2un,liupheonix,131,Ministry of Foreign Affairs
117,Chinamission2un,XinhuaChinese,79,Ministry of Foreign Affairs
118,Chinamission2un,China2ASEAN,133,Ministry of Foreign Affairs
119,Chinamission2un,WuPeng_MFAChina,149,Ministry of Foreign Affairs
120,Chinamission2un,ZhaLiyou,188,Ministry of Foreign Affairs
121,Chinamission2un,Echinanews,169,Ministry of Foreign Affairs
122,Chinamission2un,cgtnun,4,Ministry of Foreign Affairs
123,Chinamission2un,Huanqiu_com,40,Ministry of Foreign Affairs
124,Chinamission2un,CCTV_Plus,63,Ministry of Foreign Affairs
125,Chinamission2un,PhoenixTV_News,41,Ministry of Foreign Affairs
126,Chinamission2un,zhangbuxin,38,Ministry of Foreign Affairs
127,Chinamission2un,shao_zheng,63,Ministry of Foreign Affairs
128,Chinamission2un,ChenPingMFA,72,Ministry of Foreign Affairs
129,Chinamission2un,AmbXieFeng,121,Ministry of Foreign Affairs
130,Chinamission2un,CCGBelfast,76,Ministry of Foreign Affairs
131,Chinamission2un,libijian2,128,Ministry of Foreign Affairs
132,Chinamission2un,AmbNong,69,Ministry of Foreign Affairs
133,Chinamission2un,AmbassadeChine,175,Ministry of Foreign Affairs
134,Chinamission2un,Chinaemb_Hellas,100,Ministry of Foreign Affairs
135,Chinamission2un,XuZeyu_Philip,50,Ministry of Foreign Affairs
136,Chinamission2un,CGMeifangZhang,182,Ministry of Foreign Affairs
137,Chinamission2un,ChinaIraq,100,Ministry of Foreign Affairs
138,Chinamission2un,ChinaAmbBelgium,109,Ministry of Foreign Affairs
139,Chinamission2un,DrZhaoyongchen,67,Ministry of Foreign Affairs
140,Chinamission2un,Amb_Yiming,138,Ministry of Foreign Affairs
141,Chinamission2un,oujianhong,42,Ministry of Foreign Affairs
142,Chinamission2un,Ambassador_Liu,140,Ministry of Foreign Affairs
143,Chinamission2un,AmbLiaoLiqiang,102,Ministry of Foreign Affairs
144,Chinamission2un,PRCAmbNL,67,Ministry of Foreign Affairs
145,Chinamission2un,AmbChangHua,92,Ministry of Foreign Affairs
146,Chinamission2un,AmbLiuQuan,114,Ministry of Foreign Affairs
147,Chinamission2un,ChinaEmbGrenada,97,Ministry of Foreign Affairs
148,Chinamission2un,ChinaEmSlovenia,128,Ministry of Foreign Affairs
149,Chinamission2un,AmbCina,82,Ministry of Foreign Affairs
150,Chinamission2un,ChineseEmb_Uga,81,Ministry of Foreign Affairs
151,Chinamission2un,ambchinetchad,94,Ministry of Foreign Affairs
152,Chinamission2un,HuXijin_GT,132,Ministry of Foreign Affairs
153,Chinamission2un,hongfenghuang,53,Ministry of Foreign Affairs
154,Chinamission2un,huanxinzhao,10,Ministry of Foreign Affairs
155,Chinamission2un,ChineseEmbinUK,151,Ministry of Foreign Affairs
156,Chinamission2un,ChinaConsulate,95,Ministry of Foreign Affairs
157,Chinamission2un,WangXianfeng8,39,Ministry of Foreign Affairs
158,Chinamission2un,WangJianPaco,37,Ministry of Foreign Affairs
159,Chinamission2un,ChineseEmbinHU,108,Ministry of Foreign Affairs
160,Chinamission2un,ChinaembassyT,81,Ministry of Foreign Affairs
161,Chinamission2un,li_xiaosi,168,Ministry of Foreign Affairs
162,Chinamission2un,ChinaEmbEsp,114,Ministry of Foreign Affairs
163,Chinamission2un,ChnEmbassy_jp,105,Ministry of Foreign Affairs
164,Chinamission2un,PRCAmbNepal,114,Ministry of Foreign Affairs
165,Chinamission2un,China_Amb_Mdv,112,Ministry of Foreign Affairs
166,Chinamission2un,zhaobaogang2011,20,Ministry of Foreign Affairs
167,Chinamission2un,liuboleo2,31,Ministry of Foreign Affairs
168,Chinamission2un,ChinaEmbKazakh,68,Ministry of Foreign Affairs
169,Chinamission2un,ChinaEmbKSA,73,Ministry of Foreign Affairs
170,Chinamission2un,ChinaAmbSA,151,Ministry of Foreign Affairs
171,Chinamission2un,ChineseembassyJ,89,Ministry of Foreign Affairs
172,Chinamission2un,ChineseEmbtoYEM,107,Ministry of Foreign Affairs
173,Chinamission2un,China_Amb_Zim,89,Ministry of Foreign Affairs
174,Chinamission2un,ChineseEmbKenya,100,Ministry of Foreign Affairs
175,Chinamission2un,ChineseZimbabwe,83,Ministry of Foreign Affairs
176,Chinamission2un,ChinaEmbKabul,101,Ministry of Foreign Affairs
177,Chinamission2un,weiasecas,69,Ministry of Foreign Affairs
178,Chinamission2un,AmbChenWeiqing,60,Ministry of Foreign Affairs
179,Chinamission2un,CathayPak,135,Ministry of Foreign Affairs
180,Chinamission2un,LiuXininBeijing,140,Ministry of Foreign Affairs
181,AmbassadorHuang,SpokespersonCHN,329,Ministry of Foreign Affairs
182,AmbassadorHuang,chenweihua,132,Ministry of Foreign Affairs
183,AmbassadorHuang,CaoYi_MFA,178,Ministry of Foreign Affairs
184,AmbassadorHuang,XHNews,284,Ministry of Foreign Affairs
185,AmbassadorHuang,HuXijin_GT,132,Ministry of Foreign Affairs
186,AmbassadorHuang,ChinaDaily,249,Ministry of Foreign Affairs
187,AmbassadorHuang,MFA_China,299,Ministry of Foreign Affairs
188,AmbassadorHuang,CGTNOfficial,307,Ministry of Foreign Affairs
189,AmbassadorHuang,PDChina,237,Ministry of Foreign Affairs
190,AmbassadorHuang,zlj517,308,Ministry of Foreign Affairs
191,AmbassadorHuang,libijian2,128,Ministry of Foreign Affairs
192,AmbassadorHuang,CHN_EGY,47,Ministry of Foreign Affairs
193,AmbassadorHuang,AmbassadorLei,19,Ministry of Foreign Affairs
194,AmbassadorHuang,YXiusheng,95,Ministry of Foreign Affairs
195,AmbassadorHuang,LiuHongyang4,40,Ministry of Foreign Affairs
196,AmbassadorHuang,ChinaAmbUN,210,Ministry of Foreign Affairs
197,AmbassadorHuang,ConsulChinaRJ,34,Ministry of Foreign Affairs
198,AmbassadorHuang,CGPRCinDubai,62,Ministry of Foreign Affairs
199,AmbassadorHuang,AmbChineCmr,66,Ministry of Foreign Affairs
200,AmbassadorHuang,ChinaEmSlovenia,128,Ministry of Foreign Affairs
201,AmbassadorHuang,EmbajadaChinaSV,43,Ministry of Foreign Affairs
