is_blue_verified,created_at,description,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_banner_url,profile_image_url_https,screen_name,statuses_count,verified,want_retweets,withheld_in_countries,professional_type,smart_blocked_by,smart_blocking,has_hidden_likes_on_profile,has_hidden_subscriptions_on_profile,is_identity_verified,verified_since_msec,can_highlight_tweets,highlighted_tweets,creator_subscriptions_count,url_0_display,url_0_expanded,url_0_url
True,Fri Oct 16 06:24:19 +0000 2015,,2531,32386,653,214,,56258,ShanghaiEye🚀official,32386,['1725301102613348799'],False,https://pbs.twimg.com/profile_banners/3910925474/1581005217,https://pbs.twimg.com/profile_images/1721887964509376512/_0MJiZZF_normal.jpg,ShanghaiEye,64378,False,False,[],Business,False,False,False,False,False,1464944083066,True,1,0,shanghaieye.cn,http://www.shanghaieye.cn,https://t.co/qJXniQNfbn
False,Tue Sep 26 17:26:07 +0000 2017,Reporter🙋🏻‍♀️Content editor💃🏻cinephile 🙋Work at @CCTV_Plus,133,79,146,3,Beijing,11,Shannon Zhang,79,[],False,https://pbs.twimg.com/profile_banners/912730012234723329/1506447256,https://pbs.twimg.com/profile_images/1212653839096012800/4s9m8lEJ_normal.jpg,ShannonZ666,68,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Mon Nov 22 07:57:25 +0000 2021,"中华人民共和国驻法兰克福总领事馆
Generalkonsulat der Volksrepublik China in Frankfurt am Main
Consulate General of the People's Republic of China in Frankfurt am Main",99,3044,256,36,,367,Chinesisches Generalkonsulat in Frankfurt am Main,3044,['1462816087293284352'],False,https://pbs.twimg.com/profile_banners/1462690586197118976/1637568957,https://pbs.twimg.com/profile_images/1462691807859548162/aWPV_dgL_normal.jpg,ChinaCG_Ffm,735,False,False,[],,False,False,False,False,False,,False,0,0,frankfurt.china-consulate.org/det/,http://frankfurt.china-consulate.org/det/,https://t.co/gZqLxStWKt
False,Sat Jan 04 06:33:19 +0000 2020,"🚀Space Journalist🚀 Covering astronauts, China Space station, Lunar and Mars exploration and other space explorations 🌕Personal Views 🌍",789,2561,1594,45,"Shanghai, China. ",1622,Wu Lei,2561,['1432523302715609093'],False,https://pbs.twimg.com/profile_banners/1213347544329097216/1613542211,https://pbs.twimg.com/profile_images/1359406381602803712/Ik2B-4Rw_normal.jpg,wulei2020,2073,False,False,[],Creator,False,False,False,False,False,,False,0,0,facebook.com/Spacewalk2021,https://www.facebook.com/Spacewalk2021,https://t.co/vhGIF4L7tp
False,Sat Nov 06 20:37:14 +0000 2010,Journalist,23,238,92,4,"Beijing, China",6,Bo TANG,238,[],False,,https://pbs.twimg.com/profile_images/1334339706494980096/0OX169Z__normal.jpg,Bossebosse84,68,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Sun Dec 01 22:25:25 +0000 2019,"He/Him. Views PERSONAL. Newsletter @pekingnology on Substack ↓ now part of NON-GOVT @CCG_org.  @xhnews Xinhua alum. ""过一天，是一天。""",20178,29365,4753,349,Beijing,1272,Zichen Wang,29365,['1716851098756034750'],False,https://pbs.twimg.com/profile_banners/1201266034788970497/1586791050,https://pbs.twimg.com/profile_images/1204171752991006721/6Tdc3dH2_normal.jpg,ZichenWanghere,18643,False,False,[],Creator,False,False,False,False,False,,False,0,0,pekingnology.com,http://www.pekingnology.com,https://t.co/EX87ZxzKHd
False,Sat Apr 22 17:40:19 +0000 2023,"Learn about China from here, and go to the world from here. 中国著名政经评论员",166,2427,72,7,,30,占豪,2427,['1649845947281838081'],False,,https://pbs.twimg.com/profile_images/1649830717118119937/vWxayohc_normal.jpg,zhanhao668,88,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Fri Nov 13 06:24:21 +0000 2020,"Vica Li from Beijing China. Sharing Chinese learning skills, word cards, tutorials. Facebook: https://t.co/cO5Jws5HUH",36,1722,19,22,"Beijing, China",1524,Vica's Class,1722,[],False,https://pbs.twimg.com/profile_banners/1327135158647009280/1606048825,https://pbs.twimg.com/profile_images/1357172332830199808/PN7wlsw9_normal.jpg,VicaLi18,1764,False,False,[],,False,False,False,False,False,,False,0,0,youtube.com/channel/UC9lI3…,https://www.youtube.com/channel/UC9lI3GcZkJDgdZSeuR6rt5g,https://t.co/f6ybQDytvu
True,Wed Jul 20 00:59:59 +0000 2011,"https://t.co/Ak6zvI4GC8, the English portal of China News Service, a window into news about China. #ChinaTravel #ChinaStory #ChinaTech #ChinaBiz #Panda #AmazingChina",981,649892,654,1986,Beijing,75051,China News 中国新闻网,649892,[],False,https://pbs.twimg.com/profile_banners/338736117/1676872220,https://pbs.twimg.com/profile_images/1476824375936811012/Lpr6r4PF_normal.png,Echinanews,89826,False,False,[],Business,False,False,False,False,False,1448982366896,True,0,0,ecns.cn,http://www.ecns.cn/,https://t.co/sSjnqSY9x7
False,Mon Jan 30 16:44:05 +0000 2017,16th Chinese Ambassador to Afghanistan,1185,27673,274,163,Afghanistan,1254,Zhao Xing 赵星,27673,[],False,https://pbs.twimg.com/profile_banners/826108735827345410/1681471527,https://pbs.twimg.com/profile_images/1646833933055655936/IjTS7TVK_normal.jpg,ChinaEmbKabul,2236,False,False,[],,False,False,False,False,False,,False,0,0,af.china-embassy.org/eng/,http://af.china-embassy.org/eng/,https://t.co/d1gEy1bddj
False,Sun Jun 16 08:37:55 +0000 2019,Ambassador of the People's Republic of China to the Republic of Maldives,9702,20322,624,105,,1261,Ambassador Wang Lixin,20322,[],False,https://pbs.twimg.com/profile_banners/1140176664468418561/1618285950,https://pbs.twimg.com/profile_images/1669558309593165825/6wNM68Iq_normal.jpg,China_Amb_Mdv,6095,False,False,[],,False,False,False,False,False,,False,0,0,,,
True,Wed May 23 02:53:47 +0000 2012,"Journalist & Political-Economic Analyst, Commentator. China-Africa, N/S Korea Fellow. Years in Africa & Middle East for business. Love Travelling. Personal view",4409,93733,8979,360,"Beijing, China ",9197,Shen Shiwei 沈诗伟,93733,['1721890503866937586'],False,https://pbs.twimg.com/profile_banners/587955457/1574077365,https://pbs.twimg.com/profile_images/1448803470597926912/FKw9_IXc_normal.jpg,shen_shiwei,15419,False,False,[],Creator,False,False,False,False,False,1582063759920,True,0,0,youtube.com/channel/UC0qIA…,https://www.youtube.com/channel/UC0qIAejjPz8cCyuFdfCwf2Q,https://t.co/JGMeqIO7x7
