Name (English),title,links,categories
Chen Xu,Chen Xu (diplomat),"['Alma mater', 'Chen (surname)', 'Chen Xu (disambiguation)', 'China Foreign Affairs University', 'Chinese Communist Party', 'Chinese name', 'Chinese surname', ""Deputy Director of the Department of European Affairs of the Ministry of Foreign Affairs of the People's Republic of China"", 'Deputy List of ambassadors of China to the Netherlands', 'Fudan University', 'Hanyu Pinyin', 'Incumbent', 'List of Permanent Representatives of China to the United Nations Office at Geneva and Other International Organizations in Switzerland', 'List of ambassadors of China to the Netherlands', 'Liu Haixing', ""Ministry of Foreign Affairs of the People's Republic of China"", ""Permanent Mission of the People's Republic of China to the United Nations"", 'Simplified Chinese characters', 'Standard Chinese', 'Traditional Chinese characters', 'United Nations Human Rights Council', ""Vice Director of the Department of European Affairs of the Ministry of Foreign Affairs of the People's Republic of China"", 'Vice List of ambassadors of China to the Netherlands', 'Wang Lutong', 'Wu Ken', 'Xi Jinping', 'Xinjiang', 'Yanggu County, Shandong', 'Yu Jianhua', 'Zhang Jun (ambassador)']","['1962 births', 'Ambassadors of China to the Netherlands', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'CS1 Chinese-language sources (zh)', 'CS1 uses Chinese-language script (zh)', 'China Foreign Affairs University alumni', ""Diplomats of the People's Republic of China"", 'Fudan University alumni', 'Living people', 'People from Yanggu County, Shandong']"
Lu Kang,Lu Kang (diplomat),"['2001 Sino-Russian Treaty of Friendship', 'British Foreign Office', 'China', 'Chinese Communist Party', 'Chinese name', 'Chinese surname', 'Cong Peiwu', ""Deputy Director of Foreign Ministry Information Department of the People's Republic of China"", ""Deputy Director of the Foreign Ministry North American and Oceanian Affairs Department of the People's Republic of China"", 'Deputy List of ambassadors of China to Indonesia', 'Eurasian Economic Union', 'Freedom of religion in China', 'Geneva peace talks on Syria (2016)', 'Hanyu Pinyin', 'Hong Kong', 'Hua Chunying', 'Incumbent', 'Jiangsu', 'Korean Peninsula', 'Line of Actual Control', 'List of ambassadors of China to Indonesia', 'Liu Jianchao', 'Lu (surname 陆)', ""Ministry of Foreign Affairs of the People's Republic of China"", 'Nanjing', 'North Korea', 'Silk Road Economic Belt', 'Simplified Chinese characters', 'Sino-British Joint Declaration', 'Six-party talks', 'South Korea', 'Standard Chinese', 'Syrian Civil War', 'Terminal High Altitude Area Defense', 'Traditional Chinese characters', 'United States', ""Vice Director of Foreign Ministry Information Department of the People's Republic of China"", ""Vice Director of the Foreign Ministry North American and Oceanian Affairs Department of the People's Republic of China"", 'Vice List of ambassadors of China to Indonesia', 'Wang Yi (politician)', 'Xiao Qian (diplomat)']","['1968 births', 'Ambassadors of China to Indonesia', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'CS1 Chinese-language sources (zh)', 'CS1 uses Chinese-language script (zh)', 'Chinese diplomats', 'Living people', 'National University of Singapore alumni', 'Peking University alumni', 'People from Nanjing', ""Spokespersons for the Ministry of Foreign Affairs of the People's Republic of China""]"
Cui Tiankai,Cui Tiankai,"[""12th National People's Congress"", 'Alfred Sao-ke Sze', 'Alma mater', 'Barack Obama', 'Beijing Foreign Studies University', 'Beiyang government', 'Cai Juni', 'Cai Pei', 'Centre for Strategic and International Studies', 'Chai Zemin', 'Chang Li-sheng', 'Chen Chu (diplomat)', 'Chen Guangcheng', 'Chen Jian (diplomat)', 'Chen Lanbin', 'Cheng Yonghua', 'Cheng Zhimai', 'Chengting T. Wang', 'China', 'China Youth Daily', 'Chinese Communist Party', 'Chinese language', 'Chinese name', 'Chinese surname', 'Chu Minyi', 'Cui (surname)', 'Cui Guoyin', ""Department of Asian Affairs (People's Republic of China)"", 'Deputy List of ambassadors of China to Japan', 'Deputy List of ambassadors of China to the United States', 'Diplomat', 'East China Normal University', 'Embassy of China, Washington, D.C.', 'Excellency', 'Fu Hao (diplomat)', 'George Yeh', 'Han Xu', 'He Ruzhang', 'Hollington Tong', 'Hu Shih', 'Hu Weide', 'Huang Zhen', 'Huang Zunxian', 'ISBN (identifier)', 'James Shen', 'Japan', 'Jiang Zuobin', 'Johns Hopkins University', 'Kong Xuanyou', 'Language interpretation', 'Li Daoyu', 'Li Jiaju', 'Li Jingfang', 'Li Shengduo', 'Li Shuchang', 'Li Xingrui', 'Li Zhaoxing', 'Lian Yu', 'Liang Cheng', 'List of ambassadors of China to Japan', 'List of ambassadors of China to the United States', 'Liu Chongjie', 'Liu Jingren', 'Ma Tingliang', 'Master of International Affairs', ""Ministry of Foreign Affairs of the People's Republic of China"", ""National People's Congress"", 'Nationalist government', 'Ningbo', 'OCLC (identifier)', 'Oval Office', 'Paul H. Nitze School of Advanced International Studies', 'Peng Mengji', 'Pinyin', 'Qin Gang', 'Qing dynasty', 'Republic of China (1912–1949)', 'Shanghai', 'Shanghai Foreign Language School', 'Shen Jinding', 'Shi Luben', 'Song Zhiguang', 'South China Sea', 'Stanford University Press', 'Taiwan', 'Tsiang Tingfu', 'United Nations', 'United States', 'Vice List of ambassadors of China to Japan', 'Vice List of ambassadors of China to the United States', 'Wang Daxie', 'Wang Fangzao', 'Wang Jingwei regime', 'Wang Yi (politician)', 'Washington, D.C.', 'Wei Tao-ming', 'Wellington Koo', 'World War II', 'Wu Chaoshu', 'Wu Dawei', 'Wu Jianghao', 'Wu Tingfang', 'Xi Jinping', 'Xia Xiefu', 'Xie Feng (diplomat)', 'Xu Chengzu', 'Xu Dunxin', 'Xu Jingcheng', 'Xu Liang', 'Xu Shiying', 'Yan Huiqing', 'Yang Jiechi', 'Yang Shu (diplomat)', 'Yang Yü (diplomat)', 'Yang Zhenya', 'Yugeng', 'Zhang Shu', 'Zhang Sigui', 'Zhang Wenjin', 'Zhang Yesui', 'Zhang Yinheng', 'Zhang Yintang', 'Zhang Yuanjie', 'Zhang Zongxiang', 'Zhejiang', 'Zheng Zaoru', 'Zhong Lu', 'Zhou Shukai', 'Zhou Wenzhong', 'Zhu Qizhen (diplomat)']","['1952 births', 'Ambassadors of China to Japan', 'Ambassadors of China to the United States', 'Articles containing Chinese-language text', 'Articles with VIAF identifiers', 'Articles with short description', 'CS1 Chinese-language sources (zh)', 'CS1 Simplified Chinese-language sources (zh-hans)', ""Diplomats of the People's Republic of China"", 'East China Normal University alumni', 'Living people', 'Paul H. Nitze School of Advanced International Studies alumni', ""People's Republic of China politicians from Shanghai"", 'Short description matches Wikidata']"
Dong Xiaojun,Dong Xiaojun,"['Ambassador extraordinary and plenipotentiary', 'Bulgaria', 'Bulgaria–China relations', 'China–Jamaica relations', 'China–Uruguay relations', 'Jamaica', 'Niu Qingbao', 'Pinyin', 'Simplified Chinese characters', 'Traditional Chinese characters', 'Uruguay', 'Wang Gang (diplomat)', 'Yan Banghua', 'Zhang Haizhou', 'Zheng Qingdian']","['1962 births', 'All stub articles', 'Ambassadors of China to Bulgaria', 'Ambassadors of China to Jamaica', 'Ambassadors of China to Uruguay', 'Articles containing simplified Chinese-language text', 'Articles containing traditional Chinese-language text', 'Articles with short description', 'CS1 Chinese-language sources (zh)', 'Chinese diplomat stubs', 'Living people', 'Short description matches Wikidata']"
Kong Xuanyou,Kong Xuanyou,"['Alma mater', 'Arabic', 'Cheng Yonghua', 'China Foreign Affairs University', 'Chinese name', 'Chinese surname', 'Communist Party of China', 'Cui Tiankai', ""Department of Asian Affairs (People's Republic of China)"", ""Deputy Director of Department of Asian Affairs (People's Republic of China)"", 'Deputy List of ambassadors of China to Japan', 'Deputy List of ambassadors of China to Vietnam', ""Deputy Ministry of Foreign Affairs of the People's Republic of China"", 'Envoy (title)', 'Friendship Order', 'Hangul', 'Hanja', 'Hanyu Pinyin', 'Heilongjiang', 'Japanese language', 'JoongAng Ilbo', 'Kong (surname)', 'Korean language', 'Koreans in China', 'List of ambassadors of China to Japan', 'List of ambassadors of China to Vietnam', ""Ministry of Foreign Affairs of the People's Republic of China"", 'Osaka', 'Pakistan', 'Revised Romanization of Korean', 'Shanghai International Studies University', 'Simplified Chinese characters', 'Six-party talks', 'Standard Chinese', 'THAAD', 'Traditional Chinese characters', ""Vice Director of Department of Asian Affairs (People's Republic of China)"", 'Vice List of ambassadors of China to Japan', 'Vice List of ambassadors of China to Vietnam', ""Vice Ministry of Foreign Affairs of the People's Republic of China"", 'Vietnam', 'Wang Yi (politician)', 'Wu Dawei', 'Wu Jianghao']","['1959 births', 'All articles with unsourced statements', 'Ambassadors of China to Vietnam', 'Articles containing Chinese-language text', 'Articles containing Korean-language text', 'Articles containing simplified Chinese-language text', 'Articles with short description', 'Articles with unsourced statements from May 2023', 'China Foreign Affairs University alumni', 'Chinese Communist Party politicians from Heilongjiang', 'Chinese people of Korean descent', 'Living people', ""People's Republic of China politicians from Heilongjiang"", 'Recipients of Hilal-i-Quaid-i-Azam', 'Recipients of the Friendship Order', 'Shanghai International Studies University alumni', 'Short description matches Wikidata']"
Liu Xiaoming,Liu Xiaoming,"['2019–20 Hong Kong protests', '5G', 'An Huihou', 'Asia Times', 'BBC', 'BBC News', 'Bloomberg News', 'British Foreign Office', 'CNN', 'COVID-19 pandemic', 'China', 'Chinese name', 'Chinese surname', 'Cold war', 'Communist Party of China', 'Conservative Party (UK)', 'Dalian University of Foreign Languages', ""Deputy China's Special Representative on Korean Peninsula Affairs"", 'Deputy List of ambassadors of China to Egypt', 'Deputy List of ambassadors of China to North Korea', 'Deputy List of ambassadors of China to the United Kingdom', 'Egypt', 'Embassy of China, London', 'Evening Standard', 'Express & Star', 'Fake news', 'Financial Times', 'Fletcher School of Law and Diplomacy', 'Footjob', 'Foreign Affairs Select Committee', 'Foreign Secretary', 'Fu Ying', 'Geng Shuang', 'Government of the United Kingdom', 'Hanyu Pinyin', 'Harry Potter', 'Horcrux', 'Huawei', 'Incumbent', 'Japanese militarism', 'Jeremy Hunt', 'Keiichi Hayashi', 'Kong Xuanyou', 'Korea', 'Laws in Hong Kong', 'Liaoning', 'List of ambassadors of China to Egypt', 'List of ambassadors of China to North Korea', 'List of ambassadors of China to the United Kingdom', 'Liu (surname)', 'Liu Hongcai', 'Lord Voldemort', 'Member of Parliament (United Kingdom)', ""Ministry of Foreign Affairs of the People's Republic of China"", 'North Korea', 'Simplified Chinese characters', 'South China Morning Post', 'Standard Chinese', 'The Daily Telegraph', 'The Guardian', 'Traditional Chinese characters', 'Tufts University', 'Twitter', 'US-China trade war', 'United Kingdom', 'United States', ""Vice China's Special Representative on Korean Peninsula Affairs"", 'Vice List of ambassadors of China to Egypt', 'Vice List of ambassadors of China to North Korea', 'Vice List of ambassadors of China to the United Kingdom', 'Wu Donghe', 'Wu Sike', 'Xinjiang internment camps', 'Yasukuni shrine', 'Zheng Zeguang']","['1956 births', 'Ambassadors of China to Egypt', 'Ambassadors of China to North Korea', 'Ambassadors of China to the United Kingdom', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'Articles with NTA identifiers', 'Articles with VIAF identifiers', 'Articles with short description', 'Commons category link is on Wikidata', 'Dalian University of Foreign Languages alumni', 'Living people', 'People from Jieyang', 'Recipients of the Order of Friendship (North Korea)', 'Short description is different from Wikidata', 'The Fletcher School at Tufts University alumni', 'Use mdy dates from April 2012']"
Nong Rong,Nong Rong,"[""13th National People's Congress"", 'Alma mater', 'Balochistan', 'Ban Zhongbai', 'Chinese Communist Party', 'Chinese name', 'Chinese surname', 'Deputy List of ambassadors of China to Pakistan', ""Deputy Ministry of Foreign Affairs of the People's Republic of China"", 'Guangxi', 'Guigang', 'Hanyu Pinyin', 'He Luchun', 'Incumbent', 'Li Xinyuan', 'List of ambassadors of China to Pakistan', 'Mashan County', ""Ministry of Foreign Affairs of the People's Republic of China"", 'Nong (surname)', 'Peking University', 'Qin Gang', 'Quetta', 'Simplified Chinese characters', 'Standard Chinese', ""State Council of the People's Republic of China"", 'Tehrik-i-Taliban Pakistan', 'Traditional Chinese characters', 'Vice List of ambassadors of China to Pakistan', ""Vice Ministry of Foreign Affairs of the People's Republic of China"", 'Wu Jianghao', 'Yao Jing', 'Zhuang people']","['1967 births', 'Ambassadors of China to Pakistan', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'Articles with short description', 'CS1 Chinese-language sources (zh)', 'CS1 uses Chinese-language script (zh)', 'Chinese Communist Party politicians from Guangxi', ""Delegates to the 13th National People's Congress"", 'Living people', 'Peking University alumni', ""People's Republic of China politicians from Guangxi"", 'People from Nanning', 'Short description matches Wikidata', 'Zhuang people']"
Qin Gang,Qin Gang,"['19th Politburo of the Chinese Communist Party', '2022 visit by Nancy Pelosi to Taiwan', ""2023 National People's Congress"", '20th Politburo of the Chinese Communist Party', 'ASEAN', 'Al Jazeera English', 'Alfred Sao-ke Sze', 'Alma mater', 'Anadolu Agency', 'Astronaut', 'Attaché', 'Australian Financial Review', 'BBC', 'BBC News', 'Bachelor of Laws', 'Bagatur', 'Bloomberg News', 'Carter Center', 'Central Foreign Affairs Commission', 'Chai Zemin', 'Chen Baosheng', 'Chen Lanbin', 'Chen Wenqing', 'Chen Xiaojiang', 'Chen Yi (marshal)', 'Chen Yixin', 'Chengting T. Wang', 'China', 'Chinese Communist Party', 'Chinese language', 'Chinese name', 'Chinese surname', 'Cui Guoyin', 'Cui Tiankai', 'Deng Li', ""Deputy Director of the Ministry of Foreign Affairs of the People's Republic of China"", 'Deputy List of ambassadors of China to the United States', ""Deputy Minister of Foreign Affairs of the People's Republic of China"", ""Deputy Ministry of Foreign Affairs of the People's Republic of China"", 'Deputy State councillor', 'Ding Xuexiang', 'E Jingping', 'Embassy of China, London', 'Embassy of China, Washington, D.C.', 'Envoy (title)', 'Financial Times', ""Foreign Minister of the People's Republic of China"", 'Fu Xiaotian', 'Fu Zhenghua', 'General Secretary of the Chinese Communist Party', 'George Yeh', ""Governor of the People's Bank of China"", 'Han Changfu', 'Han Xu', 'Han Zheng', 'Hanyu Pinyin', 'He Lifeng', 'He Rong', 'Hebei', 'Henry Kissinger', 'High Representative of the Union for Foreign Affairs and Security Policy', 'Hollington Tong', 'Hong Lei (diplomat)', 'Hou Kai', 'Hu Chunhua', 'Hu Heping', 'Hu Shih', 'Hu Zejun', 'Huai Jinpeng', 'Huang Hua', 'Huang Ming (politician)', 'Huang Runqiu', 'Huang Shuxian', 'Huang Zhen', 'ISSN (identifier)', 'Intelligence Online', 'International Politics', 'Jakarta', 'James Shen', 'Janet Yellen', 'Ji Pengfei', 'Jin Zhuanglong', 'Josep Borrell', ""Lan Fo'an"", 'Li Baodong', 'Li Daoyu', 'Li Ganjie', 'Li Guoying', 'Li Jiheng', 'Li Keqiang', 'Li Keqiang Government', 'Li Qiang', 'Li Qiang Government', 'Li Shangfu', 'Li Xiaopeng (politician)', 'Li Zhaoxing', 'Liang Cheng', 'List of ambassadors of China to the United States', 'Liu Guozhong', 'Liu He (politician)', 'Liu Jianchao', 'Liu Kun', 'Lu Hao (born 1967)', 'Luo Shugang', 'Luo Zhaohui', 'Ma Xiaowei', 'Ma Zhaoxu', 'Miao Wei', ""Minister of Foreign Affairs of the People's Republic of China"", ""Minister of National Defense of the People's Republic of China"", ""Ministries of the People's Republic of China"", 'Ministry of Agriculture and Rural Affairs', 'Ministry of Civil Affairs', 'Ministry of Commerce (China)', 'Ministry of Culture and Tourism (China)', 'Ministry of Ecology and Environment', 'Ministry of Education (China)', ""Ministry of Education of the People's Republic of China"", 'Ministry of Emergency Management', 'Ministry of Finance (China)', ""Ministry of Foreign Affairs of the People's Republic of China"", 'Ministry of Housing and Urban-Rural Development', 'Ministry of Human Resources and Social Security', 'Ministry of Industry and Information Technology', 'Ministry of Justice (China)', 'Ministry of Natural Resources (China)', 'Ministry of Public Security (China)', 'Ministry of Science and Technology (China)', 'Ministry of State Security (China)', 'Ministry of Transport (China)', 'Ministry of Veterans Affairs (China)', 'Ministry of Water Resources (China)', 'NPR', 'National Audit Office (China)', 'National Development and Reform Commission', 'National Ethnic Affairs Commission', 'National Health Commission', 'Ni Hong (politician)', 'Pan Gongsheng', 'Pan Yue (politician)', 'Party Committee Secretary', 'Pei Jinjia', ""People's Daily"", 'Pinyin', 'Politburo Standing Committee of the Chinese Communist Party', ""Premier of the People's Republic of China"", 'Qian Qichen', 'Qiao Guanhua', 'Qin (surname)', 'Qing dynasty', 'Quartz (publication)', 'R. Nicholas Burns', 'Radio Free Asia', 'Republic of China (1912–1949)', 'Reuters', 'Secretary-General of the State Council', 'Shen Yiqin', 'Shenzhou 13', 'Simplified Chinese characters', 'South China Morning Post', 'Standard Chinese', ""Standing Committee of the National People's Congress"", ""State Council of the People's Republic of China"", 'State councillor', 'Sun Chunlan', 'Sun Shaocheng', 'Surrogacy', 'Taiwan', 'Tang Dengjie', 'Tang Jiaxuan', 'Tang Renjian', 'Tang Yijun', 'The Guardian', 'The New York Times', 'The Wall Street Journal', 'The Washington Post', 'Tiangong space station', 'Tianjin', 'Traditional Chinese characters', 'Tsiang Tingfu', 'United Daily News', 'United States Secretary of State', 'United States Secretary of the Treasury', 'University of International Relations', 'Uyghur genocide', ""Vice Chairperson of the Chinese People's Political Consultative Conference"", ""Vice Director of the Ministry of Foreign Affairs of the People's Republic of China"", 'Vice List of ambassadors of China to the United States', ""Vice Minister of Foreign Affairs of the People's Republic of China"", ""Vice Ministry of Foreign Affairs of the People's Republic of China"", ""Vice Premier of the People's Republic of China"", 'Vice State councillor', 'Wang Guanghua', 'Wang Menghui', 'Wang Wenbin', 'Wang Wentao', 'Wang Xiangxi', 'Wang Xiaohong', 'Wang Xiaoping', 'Wang Yi (politician)', 'Wang Yong (politician)', 'Wang Yupu', 'Wang Zhigang', 'Washington, D.C.', 'Wei Fenghe', 'Wei Tao-ming', 'Wellington Koo', ""Whole-process people's democracy"", 'Wu Chaoshu', 'Wu Tingfang', 'Wu Xueqian', 'Wu Zhenglong', 'Xi Jinping', 'Xia Xiefu', 'Xiao Jie', 'Xiao Yaqing', 'Xie Feng (diplomat)', 'Xinhua', 'Xinhua News Agency', 'Yan Huiqing', 'Yang Jiechi', 'Yang Yü (diplomat)', 'Yi Gang', 'Yin Hejun', 'Zhang Guoqing', 'Zhang Jinan', 'Zhang Kunsheng', 'Zhang Wenjin', 'Zhang Yesui', 'Zhang Yinheng', 'Zhang Yintang', 'Zhao Kezhi', 'Zheng Shanjie', 'Zheng Zaoru', 'Zheng Zeguang', 'Zhong Shan', 'Zhou Enlai', 'Zhou Shukai', 'Zhou Wenzhong', 'Zhou Zuyi', 'Zhu Qizhen (diplomat)']","['1966 births', '20th-century Chinese people', '21st-century Chinese politicians', 'Ambassadors of China to the United States', 'Articles containing Chinese-language text', 'Articles with GND identifiers', 'Articles with VIAF identifiers', 'Articles with short description', 'CS1 Chinese-language sources (zh)', 'CS1 Chinese (Taiwan)-language sources (zh-tw)', 'CS1 uses Chinese-language script (zh)', 'Chinese Communist Party politicians from Tianjin', 'Commons category link from Wikidata', 'Delegates to the 20th National Congress of the Chinese Communist Party', ""Foreign Ministers of the People's Republic of China"", 'Living people', 'Members of the 20th Central Committee of the Chinese Communist Party', ""Ministry of Foreign Affairs of the People's Republic of China officials"", ""People's Republic of China politicians from Tianjin"", 'Political office-holders in Hebei', 'Short description is different from Wikidata', 'University of International Relations alumni', 'Use dmy dates from September 2023']"
Wu Jianghao,Wu Jianghao,"['Akihito', 'Beiyang government', 'Cai Juni', 'Cai Pei', 'Chang Li-sheng', 'Changde', 'Chen Chu (diplomat)', 'Chen Jian (diplomat)', 'Cheng Yonghua', 'Cheng Zhimai', 'China', 'Chinese Communist Party', 'Chinese name', 'Chinese surname', 'Chu Minyi', 'Cui Tiankai', ""Department of Asian Affairs (People's Republic of China)"", ""Deputy Director General of the Department of Asian Affairs (People's Republic of China)"", 'Deputy List of ambassadors of China to Japan', 'Deputy List of ambassadors of China to Sri Lanka', 'Emperor of Japan', 'Fu Hao (diplomat)', 'Hanyu Pinyin', 'He Ruzhang', 'Hollington Tong', 'Hong Kong', 'Hu Weide', 'Huang Zunxian', 'Hunan', 'Incumbent', 'Jiang Zemin', 'Jiang Zuobin', 'Kong Xuanyou', 'Li Jiaju', 'Li Jingfang', 'Li Shengduo', 'Li Shuchang', 'Li Xingrui', 'Lian Yu', 'Lianhe Zaobao', 'List of ambassadors of China to Japan', 'List of ambassadors of China to Sri Lanka', 'Liu Chongjie', 'Liu Jingren', 'Liu Jinsong', 'Luo Zhaohui', 'Ma Tingliang', 'Macao', 'Ministry of Foreign Affairs', 'Nationalist government', 'Nikkei Asia', 'Peng Mengji', ""President of the People's Republic of China"", 'Qing dynasty', 'Radio France International', 'Republic of China (1912–1949)', 'Shanghai International Studies University', 'Shen Jinding', 'Shi Luben', 'Simplified Chinese characters', 'Sohu', 'Song Zhiguang', 'Standard Chinese', 'State visit by Jiang Zemin to Japan', 'Taiwan', 'Taoyuan County', 'The Asahi Shimbun', 'Tokyo', 'Traditional Chinese characters', ""Vice Director General of the Department of Asian Affairs (People's Republic of China)"", 'Vice List of ambassadors of China to Japan', 'Vice List of ambassadors of China to Sri Lanka', 'Wang Daxie', 'Wang Fangzao', 'Wang Jingwei regime', 'Wang Yi (politician)', 'Wei Tao-ming', 'Wu (surname)', 'Wu Dawei', 'Xiao Qian (diplomat)', 'Xu Chengzu', 'Xu Dunxin', 'Xu Jingcheng', 'Xu Liang', 'Xu Shiying', 'Yang Shu (diplomat)', 'Yang Xiuping', 'Yang Zhenya', 'Yi Xianliang', 'Yugeng', 'Zhang Shu', 'Zhang Sigui', 'Zhang Yuanjie', 'Zhang Zongxiang', 'Zhong Lu']","['1963 births', 'Ambassadors of China to Japan', 'Ambassadors of China to Sri Lanka', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'Articles with short description', 'CS1 Chinese-language sources (zh)', 'CS1 uses Chinese-language script (zh)', 'Chinese Communist Party politicians from Hunan', 'Living people', ""People's Republic of China politicians from Hunan"", 'Politicians from Changde', ""S-aft: 'after' parameter includes the word 'incumbent'"", 'Shanghai International Studies University alumni', 'Short description is different from Wikidata']"
Xie Feng,Xie Feng (diplomat),"['Alfred Sao-ke Sze', 'Alma mater', 'Bachelor of Laws', 'Bloomberg News', 'CNBC', 'Chai Zemin', 'Chen Lanbin', 'Chengting T. Wang', 'China', 'China Foreign Affairs University', 'China–United States relations', 'Chinese Communist Party', 'Chinese name', 'Chinese surname', 'Cui Guoyin', 'Cui Tiankai', 'Deng Li', 'Deputy Commissioner of Office of the Commissioner (Hong Kong)', 'Deputy List of ambassadors of China to Indonesia', 'Deputy List of ambassadors of China to the United States', ""Deputy Ministry of Foreign Affairs of the People's Republic of China"", 'George Yeh', 'Han Xu', 'Hanyu Pinyin', 'Hollington Tong', 'Hu Shih', 'Huang Zhen', 'Incumbent', 'James Shen', 'Jiangdu District', 'Jiangsu', 'Joe Biden', 'Li Daoyu', 'Li Zhaoxing', 'Liang Cheng', 'List of ambassadors of China to Indonesia', 'List of ambassadors of China to the United States', 'Liu Guangyuan', 'Liu Jianchao', 'Ma Zhaoxu', 'Master of Public Administration', ""Ministry of Foreign Affairs of the People's Republic of China"", 'Office of the Commissioner (Hong Kong)', 'Politico', 'Public administration', 'Qin Gang', 'Qing dynasty', 'Renmin University', 'Republic of China (1912–1949)', 'Simplified Chinese characters', 'Song Zhe', 'South China Morning Post', 'Standard Chinese', 'Sun Weidong', 'Taiwan', ""The Commissioner's Office of China's Foreign Ministry in the Hong Kong S.A.R."", 'Traditional Chinese characters', 'Tsiang Tingfu', 'Vice Commissioner of Office of the Commissioner (Hong Kong)', 'Vice List of ambassadors of China to Indonesia', 'Vice List of ambassadors of China to the United States', ""Vice Ministry of Foreign Affairs of the People's Republic of China"", 'Wang Yi (politician)', 'Wei Tao-ming', 'Wellington Koo', 'Wu Chaoshu', 'Wu Tingfang', 'Xia Xiefu', 'Xiao Qian (diplomat)', 'Xie (surname)', 'Xinhua News Agency', 'Yan Huiqing', 'Yang Jiechi', 'Yang Yü (diplomat)', 'Yangzhou', 'Zhang Wenjin', 'Zhang Yesui', 'Zhang Yinheng', 'Zhang Yintang', 'Zheng Zaoru', 'Zheng Zeguang', 'Zhou Shukai', 'Zhou Wenzhong', 'Zhu Qizhen (diplomat)']","['1964 births', 'Ambassadors of China to Indonesia', 'Ambassadors of China to the United States', 'Articles containing Chinese-language text', 'Articles containing simplified Chinese-language text', 'Articles with short description', 'China Foreign Affairs University alumni', 'Chinese Communist Party politicians from Jiangsu', 'Chinese diplomats', 'Commons category link from Wikidata', 'Living people', ""People's Republic of China politicians from Jiangsu"", 'Politicians from Yangzhou', 'Short description matches Wikidata']"
